web-scraper-order,web-scraper-start-url,desc_dep,precio_depa,pre
1615701643-15126,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO EN EL CAMPANARIO QUERETARO,"$24,000",24000
1615701685-15267,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,TI/D DEPARTAMENTO DE LUJO EN RENTA JURIQUILLA QUERETARO,"$23,000",23000
1615701660-15192,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,"Departamento Amueblado en El Mirador con Vigilancia, Renta","$11,500",11500
1615701636-15098,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento en renta en El Campanario OFP 20-248,"$25,000",25000
1615701720-15399,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,RENTA DEPARTAMENTO AMUEBLADO DE JURIQUILLA SANTA FE 1 RECAMARA,"$22,500",22500
1615701776-15586,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,Departamento en Renta RID10068,"$10,000",10000
1615701636-15085,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento en El Campanario de 40 mts2 y 1 dormitorio! en renta RAHQRO 20-245,"$20,500",20500
1615701756-15514,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento en Renta en Juriquilla Cantalagua 2 Niveles 3 Recámaras,"$20,000",20000
1615701643-15120,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"DEPARTAMENTO EN RENTA, CITY VIEW, CAMPANARIO, AMUEBLADO","$24,000",24000
1615701643-15127,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"CAMPANARIO SIERRA AZUL, LOFT AMUEBLADO EN RENTA","$18,500",18500
1615701747-15498,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Departamento en renta en juriquilla AQC,"$20,000",20000
1615701713-15363,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,DEPARTAMENTO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$21,000",21000
1615701660-15179,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,Departamento en renta El MIrador 2 habitaciones AVH,"$11,500",11500
1615701713-15349,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,DEPARTAMENTO AMUEBLADO EN RENTA JURIQUILLA,"$14,000",14000
1615701747-15490,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Departamento en Renta en Juriquilla,"$13,500",13500
1615701766-15558,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,DEPARTAMENTO AMUEBLADO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$22,500",22500
1615701776-15583,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,"Departamento en renta en Natuur, San José el Alto","$18,100",18100
1615701703-15345,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento Duplex en Renta 2 Recamaras Excelentes Amenidades Ycc,"$14,000",14000
1615701738-15443,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Hermoso Departamento en Renta. Juriquilla. FVR,"$23,500",23500
1615701776-15587,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,SE RENTA DEPARTAMENTO EN ALTERRA TOWERS,"$12,500",12500
