web-scraper-order,web-scraper-start-url,descrip,precio
1615707785-16476,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,Renta moderna casa amueblada en Altos de Juriquilla JF,"$22,000"
1615707785-16474,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,LOFT EN RENTA JURIQUILLA EN CONJUNTO CERRADO CON VIGILANCIA LAS 24HRS.,"$13,000"
1615707835-16619,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa en condominio en Renta, en Juriquilla, Querétaro","$17,500"
1615707802-16503,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,"Casa amueblada en renta en Balcones Juriquilla, Queretaro","$45,000"
1615707785-16481,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,PRECIOSA CASA EN BALCONES ESTILO COLONIAL,"$45,000"
1615707862-16688,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Se Renta Casa amueblada 3 recamaras en el Refugio YCC,"$19,000"
1615707907-16824,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,En Renta Amplia casa ubicada en el corazon del Refugio,"$14,000"
1615707802-16521,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Rento casa en Jardines de Juriquilla,"$15,000"
1615707845-16649,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1615707835-16638,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Renta Casa de 1 piso-Fracc. con alberca-2 Rec-2 baños-Frente Superama Juriquilla,"$11,500"
1615707811-16545,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Queretaro Casa en Renta,"$28,000"
1615707845-16660,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en venta de tres niveles con Roof Garden en el Refugio RAHQRO,"$3,000,000"
1615707758-16387,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,CASA EN RENTA EN EL MIRADOR QUERÉTARO,"$14,500"
1615707926-16873,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1615707835-16631,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Casa sin amoblar en Fray Junipero Serra con espacios extraordinarios! RCS,"$11,000"
1615707896-16794,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,"Casa en renta Residencial El Refugio, Querétaro, fraccionamiento privado","$12,500"
1615707828-16591,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"Renta de Casa en Villas del Meson Juriquilla 4 recs y cuarto de servicio, Qro.","$29,000"
1615707939-16912,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"Casa en Renta en El Refugio Queretaro, 3 rec vestidor y baño c/u, Roof garden","$15,000"
1615707939-16901,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1615707766-16424,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,CASA EN RENTA EN  CALLE CERRADA ZONA LOS ARCOS EN QUERETARO,"$22,000"
1615707939-16900,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Amplia casa en renta con acabados de primera en El Refugio,"$13,500"
