web-scraper-order,web-scraper-start-url,descrip,precio,recamaras,baños,metros
"1615259037-1061","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=1","Se Renta Departamento AMUEBLADO en MILENIO, Hermosa Vista, Equipado !!","$ 15,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
"1615259021-1008","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=3","DEPARTAMENTO EN RENTA EN QUERETARO Milenio Summit Park","$ 12,500","22
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","85 m²
                                    
                                
                                Construidos"
"1615259021-1007","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=3","DEPARTAMENTO EN RENTA    MILENIO III","$ 10,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","110 m²
                                    
                                
                                Construidos"
"1615259037-1075","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=1","Departamento en renta en Milenio III, Qro.","$ 22,000","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","null"
"1615259037-1068","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=1","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 8,000","1
                                    
                                
                                Recámara","1
                                    
                                
                                Baño","60 m²
                                    
                                
                                Construidos"
"1615259029-1031","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=2","RENTA DEPARTAMENTO AMUEBLADO MILENIO","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","140 m²
                                    
                                
                                Construidos"
"1615259021-1013","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=3","Penthouse en renta amoblado de 3 dormitorios y 246 mts2 en El Milenio III RAHQRO","$ 27,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","246 m²
                                    
                                
                                Construidos"
"1615259029-1048","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=2","Penthouse en Milenio III amueblado de 3 dormitorios y 246 mts2! RAHQRO","$ 27,000","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","246 m²
                                    
                                
                                Construidos"
"1615259021-1012","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=3","Se  Renta  PH en Milenio amueblado o sin amueblar","$ 14,800","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","110 m²
                                    
                                
                                Construidos"
"1615259021-1016","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=3","Departamento nuevo Renta en Milenio III","$ 18,500","3
                                    
                                
                                Recámaras","3
                                    
                                
                                Baños","170 m²
                                    
                                
                                Construidos"
"1615259037-1081","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=1","Departamento para RENTA a estrenar en Milenio III","$ 14,000","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","125 m²
                                    
                                
                                Construidos"
"1615259029-1038","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=2","Lofts amueblados en Renta en Milenio III","$ 10,000","1
                                    
                                
                                Baño","55 m²
                                    
                                
                                Construidos","null"
"1615259029-1043","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=2","DEPARTAMENTO EN RENTA EN MILENIO III QUERETARO CON VISTA A LA CAÑADA","$ 18,320","2
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","113 m²
                                    
                                
                                Construidos"
"1615259037-1079","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?currency=mxn%2F%3Fpage%3D3&page=1","Departamento en Renta, en Milenio 3a. Sección, Querétaro","$ 15,500","3
                                    
                                
                                Recámaras","2
                                    
                                
                                Baños","135 m²
                                    
                                
                                Construidos"
