web-scraper-order,web-scraper-start-url,titulo,precio,metros
1620528166-12379,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/?currency=mxn,TERRENO EN VENTA EN PROVINCIA SANTA ELENA  DE 250M2,"$5,000",250
1620528157-12342,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,Terreno en venta en El Campanario Calvarito CT212243,"$7,100,000",653
1620528350-12901,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=2,Terrenos residenciales en el Refugio dentro de fraccionamiento Bojai,"$7,000",313
1620528358-12932,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=1,Terreno en El Refugio de 314 mts2! RAHQRO 20-578,"$1,977,884",314
1620528092-12125,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=3,VENTA TERRENO EN JURIQUILLA,"$3,280,000",507
1620528100-12150,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=2,Terreno - Jurica,"$43,607,890",2
1620528137-12289,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=3,Terreno en El Campanario de 653 mts2! RCS 20-2039,"$6,900,000",653
1620528032-11955,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/terreno/for-sale/?currency=mxn,Terreno en Venta en Prolongacion Amsterdam,"$8,414,700",2714
1620528092-12130,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?&page=3,"EXCELENTE TERRENO DE 5,271 m2 UBICADO EN JURICA QUERÉTARO, TODOS LOS SERVICIOS","$24,000,000",5271
1620528193-12461,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=1,VENTA TERRENO MILENIO III,"$2,906,930",447
1620528341-12886,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=3,VENTA TERRENOS EN LA ESPIGA QUERETARO,"$2,393,715",337
