web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,mconstruidos
1620519056-3336,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=40,Casa a estrenar en Altos de Juriquilla de 2 dormitorios! RAHQRO,"$2,950,861",2,180
1620518258-1395,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=9,VENTA CASAS QUERETARO JURIQUILLA CUMBRES DEL LAGO AGUA BRAVA AA,"$5,500,000",3,320
1620519425-4290,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=8,"Casa en Juriquilla San Isidro, Estancia Amplia, Roof Garden, Estudio o 4ta Rec","$2,500,000",4,222
1620519180-3656,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=29,"Juriquilla - Casa Moderna con Recámara en Planta Baja, Venta","$19,500,000",3,686
1620519763-5305,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=13,"Casa a estrenar en El Refugio de 3 dormitorios, cocina equipada y amenidades!","$2,330,000",3,128
1620519402-4214,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=10,Cumbres de Juriquilla - Casa en VENTA. Condominio  con amenidades,"$2,495,000",3,130
1620519402-4232,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=10,CASA EN VENTA EN CUMBRES DE JURIQUILLA.,"$2,940,000",3,163
1620518216-1237,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=14,"CASA EN VENTA EN CUMBRES DEL LAGO JURIQUILLA, 3 , 2.5 , JARDÍN","$3,500,000",3,161
1620518949-3075,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=48,"Juriquilla - Desarrollo Residencial, Casas en venta...","$3,734,736",3,196
1620518742-2653,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=2,CASA EN VENTA EL MIRADOR,"$1,790,000",2,110
1620519025-3236,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=43,Casa en Venta SAN ISIDRO JURIQUILLA Querétaro con amenidades Modelo SANGIOVESE,"$2,193,000",3,131
1620518885-2928,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=2,"Preciosa Casa en Milenio III, Seguridad, Roof Garden,  3.5 , Cto Servicio..","$2,790,000",3,180
1620518624-2389,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=10,Casa en Venta El Mirador,"$2,690,000",4,190
1620518875-2915,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=3,Milenio III casa en desarrollo muy exclusivo de 150 mts2! RAHH,"$2,970,000",3,150
1620519744-5261,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=15,CASA EN VENTA EN EL REFUGIO,"$2,250,000",3,154
1620519425-4287,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=8,Casa en Venta En Condominio Cerca De UVM en Juriquilla Queretaro.,"$2,600,000",3,165
1620519525-4551,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=38,VENTA CASAS - BOJAI EL REFUGIO - QUERETARO,"$4,800,000",4,242
1620519097-3430,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=37,"CASA EN VENTA EN CONDESA JURIQUILLA, 3 RECÁMARAS, 3.5 , ESTUDIO, SALA DE TV","$3,650,000",3,250
1620519211-3746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=26,Casa en Venta en Condominio Exclusivo en Juriquilla,"$12,300,000",3,504
1620518340-1658,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?&page=3,VENTA CASA EN CENTRO SUR CLAUSTROS DE LA CATEDRAL QUERETARO,"$4,850,000",3,258
1620518613-2358,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=1,Casa en venta en El campanario Ideal para Inversionistas,"$12,900,000",4,450
1620519107-3461,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=36,Casa en venta en Condesa Juriquilla cto de servicio y recamara en PB,"$4,650,000",4,280
1620518475-2115,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=1,JURICIA CASA PARA INVERSIONISTA,"$7,094,000",4,372
1620519448-4352,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=6,Vendo casa en Juriquilla,"$4,100,000",4,300
1620518927-3022,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=50,"Juriquilla - 28 villas, 2 modelos diferentes con acabados de primera","$3,576,498",2,201
1620518718-2595,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=4,Casa en venta El Mirador 3 habitaciones YCC,"$2,376,501",3,142
1620519744-5239,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=15,"Preciosa Casa entre El Refugio y Zibatá, 3 Recámaras, Alberca, Jardín, 2.5 ","$2,795,000",3,203
1620518331-1626,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=1,"Casa en Venta, con Piscina y Terraza Bar, en Cumbres del lago, Juriquilla","$4,600,000",3,270
1620519734-5221,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=16,Casa en El Refugio de 4 dormitorios y 190 mts2! ATC,"$3,509,503",4,190
1620519202-3712,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=27,Casa a estrenar en Lomas de Juriquilla de 3 dormitorios! RAHQRO,"$3,168,604",3,190
1620519753-5282,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=14,Bonita y en Esquina casa en COTO en EL REFUGIO,"$2,685,000",3,130
1620519734-5223,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=16,Se vende Casa en fraccionamiento del refugio de 4 recamaras con 219 mts jpc,"$4,100,000",4,219
1620519202-3714,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=27,"CASA EN VENTA JURIQUILLA DE UNA PLANTA CERCA DE UVM, UAQ, UNAM, ESCUELAS Y CENTROS CO...","$7,500,000",3,321
1620519025-3238,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=43,Casa en Venta en JURIQUILLA Queretaro con excelente vista al lago,"$9,450,000",3,null
1620519097-3414,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=37,Casa en Juriquilla con cocina equipada y 357 mts2! GOC,"$7,000,000",3,357
1620519543-4614,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=36,Casa en Venta en Residencial el Refugio,"$3,180,000",3,195
1620518393-1821,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000",5,505
1620518742-2650,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=2,Hermosa y amplia casa ubicada en esquina en Colonia El Mirador JF,"$2,850,000",3,160
1620519763-5318,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=13,Casas en Venta en el Refugio,"$3,140,000",3,204
1620519612-4813,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=29,EL REFUGIO HERMOSA CASA 4 RECAMARAS JARDIN PRIVADA CON ALBERCA,"$2,465,000",4,152
1620518842-2844,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=5,CASA EN VENTA MILENIO III,"$2,900,000",3,210
1620519169-3626,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=30,"Casa sola en Venta, en Juriquilla, Querétaro","$5,700,000",4,300
1620519753-5283,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=14,Casa en venta en El Refugio queretaro zira,"$3,290,000",3,215
1620518438-1991,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=5,Jurica casa en venta de 3 recamaras y 235 mts2!,"$3,320,000",3,235
1620519286-3961,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=19,Casa en Juriquilla de con 4 puestos de estacionamientos y 504 mts2 RAHH,"$13,000,000",3,504
1620519075-3364,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=39,Casa en Juriquilla de 3 dormitorios y 282 mts2! ATC 20-650,"$3,990,000",3,282
1620519327-4047,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=16,"Casa en venta, Lomas de San Isidro Juriquilla","$1,802,500",3,102
1620519075-3344,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=39,Casas en Cumbres del Lago Queretaro,"$6,500,000",3,386
1620519303-3989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=18,"Casa en venta, excelente oportunidad","$2,990,000",3,162
1620518962-3105,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=47,Casa - Juriquilla,"$5,000,000",3,250
1620519249-3869,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=22,Juriquilla casa de 3 recamaras y 504 mts2! RCS 20-811,"$12,560,300",3,504
1620519574-4713,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=33,CASA EN VENTA RESIDENCIAL EL REFUGIO,"$2,600,000",4,192
1620519574-4721,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=33,Hermosa Casa en venta en el Fracc. el Refugio Querétaro,"$2,550,000",5,178
1620519753-5266,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=14,Casa en venta con espectacular diseño y amplitud en El Refugio Queretaro,"$4,900,000",4,272
