web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,mconstruidos
1620518553-2230,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=6,Casa en venta El Campanario 4 habitaciones JRH,"$19,990,000",4,500
1620519458-4390,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=5,CASA EN PRIVADAFRENTE ANTEA 3 RECÁMARAS ALBERCA Y SALON DE USOS MULTIPLES,"$2,900,000",3,151
1620518150-1007,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/?&page=2,CASA EN VENTA EN HUERTAS EL CARMEN QRO.,"$18,000,000",3,650
1620518438-1972,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=5,Casa en venta en Arco de piedra jurica 3 recamaras cuarto de servicio YCC,"$6,200,000",3,264
1620518637-2432,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=9,Casa en Venta en Mirador del Cimatorio 201592 JL,"$5,000,000",4,311
1620519151-3579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=32,Casa amplia en Juriquilla de 3 recamaras! RAHQRO 20-177,"$3,409,000",3,196
1620518393-1846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,"Casa Nueva en Arco de Piedra, Exclusiva Privada por Antea, terreno 280m","$7,300,000",3,400
1620518807-2792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=7,VENTA CASA QUERETARO MILENIO,"$3,350,000",3,200
1620519865-5643,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=2,"¡Estrena funcional casa !, En El Refugio, Querétaro, Qro.","$2,750,000",3,173
1620518818-2818,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=6,Milenio III - Casa en exclusivo condominio de 4 viviendas,"$2,970,000",3,150
1620518475-2110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=1,Casa en VENTA de UN piso con ALBERCA y cuarto de huéspedes en el corazón de Jurica,"$8,500,000",5,400
1620518393-1832,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,Casa en Venta en Fracc Jurica El Pinar,"$17,000,000",3,375
1620519846-5573,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,"Linda Casa, El Refugio, Alberca, 3 Niveles 4 Recámaras, 3.5  ROOF GARDEN","$2,600,000",4,181
1620519810-5456,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=8,Casa Amueblada en Venta. El Refugio,"$2,130,000",3,130
1620519753-5285,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=14,"CASA EN VENTA EN EL REFUGIO, 2 PLANTAS, 3 , 2.5 , 3 EST. , PATIO","$2,525,000",3,158
1620518393-1828,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,Venta de Amplia Casa con Recámara en Planta Baja - Jurica,"$16,500,000",5,505
1620519470-4408,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=4,Casas en venta Lomas de Juriquilla Queretaro GPS,"$6,390,000",4,387
1620518142-953,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-pueblito-19/casa/for-sale/?currency=mxn,casa en venta paseo de berna 48 queretaro,"$5,050,000",3,522
1620519202-3721,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=27,"Casa con Roof Garden y Cuarto de Servicio, Para Venta - Altos de Juriquilla","$3,954,000",3,215
1620518986-3175,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=45,CASA EN PREVENTA JURIQUILLA QUERETARO,"$3,800,000",3,250
1620518296-1510,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=5,"Casa de lujo en Pre-venta, en Lago de Juriquilla, Cumbres del Lago,  Queretaro","$5,580,000",4,240
1620519056-3341,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=40,Casa con diseño de vanguardia en Altos de Juriquilla de 121 mts2!,"$2,369,271",2,121
1620518590-2311,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=3,CASA EN VENTA EN EL CAMPANARIO QUERÉTARO,"$20,000,000",4,790
1620519107-3439,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=36,Casa en venta Juriquilla 3 habitaciones JGCC,"$19,500,000",3,686
1620519516-4517,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=39,Casa Equipada de 3 Recamaras en El Refugio Querétaro CMC#20-3288,"$3,190,000",3,160
1620519790-5389,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=10,Casa en fraccionamiento exclusivo de 182 mts2! RAHH 20-1497,"$2,597,000",3,182
1620518927-3027,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=50,Juriquilla - Jardín con Terraza en Casa Equipada. Venta,"$4,600,000",3,265
1620518306-1521,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=4,Casa en cumbres del lago de 275 mts2 y 3 dormitorios! Rahh212681,"$4,300,000",3,275
1620519734-5216,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=16,"CASA EN VENTA EN BONJAI EL REFUGIO, 3 , ESTUDIO O 4TA. ,  EN P.B.","$2,600,000",3,136
1620519458-4384,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=5,VENDO CASA EN LOMAS DE JURIQUILLA,"$6,100,000",3,388
1620519402-4217,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=10,"Vendo Casa Nueva en Juriquilla de  4 recámaras en: $3,331,838","$3,331,838",4,180
1620518158-1017,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/?&page=1,"CASA EN VENTA   CANDILES, CORREGIDORA","$1,180,000",2,65
1620519035-3263,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=42,"Casa en condominio en Venta, en Juriquilla, Querétaro","$7,690,000",4,440
1620518278-1454,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=7,"CASA NUEVA EN PRIVADA, CUMBRES DEL LAGO, QUERÉTARO 3,018,600.00","$3,018,600",3,195
1620519763-5316,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=13,hermosa casas a la venta en el Refugio AQC,"$2,625,000",3,154
1620519734-5215,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=16,Casa en preventa en el Refugio AQC,"$4,950,000",3,234
1620519097-3405,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=37,Casa en Fray Junipero Serra de 4 dormitorios y 380 mts2! RAHQRO,"$7,500,000",4,380
1620519640-4907,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=26,Casa nueva en venta en el Refugio Queretaro,"$3,567,000",3,188
1620518331-1617,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=1,VENTA DE CASA EN CUMBRES DEL LAGO,"$4,750,000",3,270
1620519584-4723,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=32,Venta hermosa casa con 3 amplias recámaras en El Refugio JF,"$2,990,000",3,180
1620518340-1649,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?&page=3,CASA EN VENTA EN CENTRO SUR,"$4,700,000",3,200
1620518579-2273,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=4,"Oportunidad!! Casa en Venta en El Campanario, Querétaro","$17,900,000",3,535
1620518331-1621,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=1,"Residencia de Autor en La Condesa Juriquilla, Roof Garden, Master Suite, 6 ","$6,995,000",4,400
1620518377-1773,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=12,CASA EN VENTA QUERETARO. JURICA.ARCO DE PIEDRA,"$7,500,000",3,250
1620518742-2643,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=2,El Mirador -  Casa con oficina o recámara en planta baja,"$2,850,000",3,185
1620519075-3372,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=39,Casa con excelente diseño en Altos de Juriquilla de 198 mts2! RCS,"$3,498,000",3,198
1620518199-1186,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=16,Venta de hermosa cas en Juriquilla AGT,"$4,300,000",3,271
1620518885-2943,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=2,"CASA NUEVA EN VENTA EN QUERÉTARO, MILENIO III, ROOF GARDEN, 3 RECAMARAS, SALA TV","$3,250,000",3,200
1620519313-4012,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=17,VENTA CASA EN CUMBRES DE JURIQUILLA 3 RECAMARAS 3 ,"$2,495,000",3,209
1620518377-1784,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=12,Casa en venta Jurica 3 habitaciones JGCC,"$11,350,000",3,445
1620519448-4354,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=6,Casa en Venta - Privada Juriquilla - Queretaro,"$2,850,000",3,275
1620518340-1666,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?&page=3,VENTA DE CASA 3 RECAMARAS EN COLINAS DEL CIMATARIO,"$4,950,000",3,225
1620519846-5589,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,El Refugio casa a estrenar de 3 recamaras y 261 mts2! RAHH,"$5,290,000",3,261
1620518570-2241,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=5,Casa en venta campanario,"$15,400,000",4,512
1620519303-3991,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=18,Casa en Venta en Juriquilla,"$4,800,000",3,420
1620518637-2421,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=9,Bonita Casa en Venta en El Mirador,"$3,050,000",3,205
1620519273-3934,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=20,"Preciosa Casa en Juriquilla, San Isidro, Alberca, 3 Recamaras, 3 , Jardín,.","$1,815,000",3,130
1620518776-2729,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=9,Hermosa casa en Milenio III,"$3,980,000",5,235
1620519107-3443,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=36,Casa en preventa con excelente diseño y 198 mts2 en Altos de Juriquilla! RCS,"$3,398,000",3,198
1620519706-5140,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=19,¡Vive en el Refugio! Hermosas Casas en  venta,"$2,785,000",3,151
1620518269-1421,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=8,Cumbres del Lago casa de 3 recamaras y 270 mts2! JGJ,"$5,400,000",3,270
1620519240-3851,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=23,Casa a estrenar en Altos de Juriquilla de 180 mts2 y 2 dormitorios! RAHQRO,"$2,950,861",2,180
1620519715-5171,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=18,El Refugio hermosa casa de 3 recamaras y 132 mts2!,"$1,970,000",3,132
1620518792-2752,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=8,"Venta. Amplia Casa de Segunda Mano, con 3 Recámaras - Milenio 3ra Sección","$2,750,000",3,166
1620518875-2914,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=3,CASA EN VENTA DE 2 NIVELES CON ROOF GARDEN,"$3,250,000",3,205
1620519192-3700,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=28,Casa en venta en Juriquilla de 3 dormitorios y 2.5 ! RAHQRO,"$4,062,795",3,232
1620519240-3828,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=23,Linda casa en venta en Altos de Juriquilla AQC,"$3,450,000",3,196
1620519669-5002,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=23,Casa nueva en venta en el Refugio AQC,"$3,590,000",3,162
1620519202-3708,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=27,VENTA DE HERMOSA CASA EN CONDESA JURIQUILLA,"$5,950,000",3,317
1620518757-2665,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=1,casa en venta con cocina equipada y 2 recamaras en El Mirador YCC,"$2,218,700",2,122
1620518182-1116,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=18,Casa en Venta en Cumbres del Lago,"$3,990,000",3,173
1620519553-4661,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=35,VENTA CASAS - EL REFUGIO - QUERETARO,"$2,790,000",3,167
1620519376-4158,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=12,"Vendo casa de dos plantas con roof garden, excelente ubicación en juriquilla queretar...","$4,695,000",3,265
1620519327-4044,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=16,Casa a estrenar en Altos de Juriquilla de 3 dormitorios y 222 mts2! ATC,"$3,701,626",3,222
1620518350-1683,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?&page=2,"Casa (430 M2) en Centro Sur, Querétaro","$7,300,000",4,430
1620518322-1600,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=2,"Preciosa Residencia en Cumbres del Lago, 1 Master Suite, 2 Suites, de LUJO !!","$4,850,000",3,298
1620519846-5579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,"Casa amplia a pie de calle en venta, El Refugio. Qro.","$3,750,000",3,242
1620519035-3266,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=42,"Casa en condominio en Venta, en Juriquilla, Querétaro","$5,400,000",3,330
1620519781-5356,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=11,"VENTA DE CASA CON EXCEDENTE EN ESQUINA ECXELENTE UBICACIÓN!!! ""FRACC.EL REFUGIO""","$2,680,000",3,130
1620519631-4883,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=27,El Refugio casa en venta de 3 recamaras y 180 mts2!,"$2,950,000",3,180
1620518287-1482,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=6,"HERMOSA RESIDENCIA EN CUMBRES DEL LAGO, EQUIPADÍSIMA, 3 RECS, 3.5  ¡LUJO!","$5,500,000",3,320
1620519327-4053,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=16,VENTA DE CASA EN HACIENDA JURIQUILLA DE 2 PLANTAS 3 RECÁMARAS SALA DE TV,"$3,700,000",3,225
1620519286-3947,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=19,Casas Venta San Isidro Juriquilla,"$1,898,000",3,161
1620518447-2003,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=4,Vacaciones Para Tu familia En Tu Propia Casa,"$15,500,000",4,600
1620518269-1428,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=8,Casa con grandes espacios en excelente zona de Juriquilla AGT,"$5,728,000",4,236
1620518191-1152,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=17,VIVIENDA DE 3 NIVELES EN VENTA EN CUMBRES DEL LAGO JURIQUILLA,"$5,000,000",3,370
1620519035-3269,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=42,Casa en venta Juriquilla 3 habitaciones FVR,"$7,990,000",3,420
1620518216-1241,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=14,Hermosa casa de un nivel Cumbre del Lago,"$3,300,000",3,150
1620519327-4063,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=16,Hermosa Casa en Juriquilla con Excelente Seguridad,"$18,500,000",5,720
1620519047-3285,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=41,Casa en Arboledas II Juriquilla,"$2,188,000",3,161
1620519706-5130,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=19,Casa en venta en el Refugio AQC,"$2,500,000",3,149
1620518807-2798,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=7,Casa en venta Milenio 3 habitaciones YCC,"$2,750,000",3,166
1620518216-1222,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=14,"CASA NUEVA EN PRIVADA CON ROOF  EN QUERÉTARO 3,544,920.00 M.N.","$3,544,920",3,null
1620518226-1273,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=13,Casa en Cumbres del Lago bien equipado con 425 mts2 y 4 dormitorios! RAHQRO,"$7,950,000",4,425
1620518208-1215,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=15,"Cumbres del Lago - Venta, Casa Equipada y Espaciosa, con Terraza y Roof Garden","$7,950,000",4,425
1620519763-5322,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=13,"Casa en condominio en Venta, en Residencial el Refugio, Querétaro","$1,930,000",3,110
1620518718-2577,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=4,Casa en esquina de 311 mts2 en El Mirador de 4 dormitorios! RAHQRO 20-1592,"$5,000,000",4,311
1620519180-3644,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=29,Venta Hermosa y Amplia casa con Roof en lo mejor de Juriquilla 4 Rec 6 JF,null,4,231
1620518637-2426,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=9,Casa en esquina de 4 dormitorios en El Mirador de 311 mts2! RAHQRO,"$5,000,000",4,311
1620518718-2570,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=4,Casa en El Mirador de 3 dormitorios y 115 mts2! RAHQRO 20-2166,"$1,850,000",3,115
1620518191-1141,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=17,"Increíble Casa en Venta en Cumbres de Lago, Juriquilla Querétaro.","$5,600,000",4,368
1620518234-1283,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=12,"Casa sola en Venta, en Cumbres del Lago, Querétaro","$6,300,000",3,340
1620518602-2335,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?&page=2,CASA EN VENTA EN EL CAMPANARIO QUERÉTARO,null,4,887
1620519402-4243,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=10,VENTA casa en Juriquilla de 3 recamaras y 504 mts2!,"$13,000,000",3,504
1620519697-5097,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=20,"Casa en Venta, Riscos El Refugio, Queretaro","$2,100,000",3,159
1620518216-1232,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=14,CASA EN VENTA CUMBRES DEL LAGO JURIQUILLA,"$3,300,000",3,150
1620518287-1489,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=6,Casa de preventa con diseño de arquitecto en Altos de Juriquilla! RCS,"$3,398,000",3,198
1620519220-3775,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=25,"Juriquilla-Plaza Nautic 4  5 , 490m2 terreno, 290mt const, cochera  4.","$5,800,000",4,290
1620519047-3310,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=41,Casa en venta Juriquilla 3 habitaciones FVR,"$7,990,000",3,420
1620519117-3474,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=35,Venta de casa por inversión en Cumbres del Lago Juriquilla,"$4,300,000",null,250
1620519480-4438,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=3,VENTA CASA EN EL DESTINO JURIQUILLA,"$3,250,000",3,180
1620519678-5042,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=22,"CASA EN VENTA, 3 RECAMARAS  FRACCIONAMIENTO EL REFUGIO, QUERETARO","$3,700,000",3,184
1620519819-5500,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=7,CASAS EN VENTA EN EL REFUGIO CON BAÑO EN CADA RECAMARA Y CUARTO DE SERVICIO,"$4,004,000",3,282
1620519715-5147,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=18,Casa en venta El Refugio 3 habitaciones AVH,"$2,130,000",3,130
1620518278-1434,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=7,"PROYECTO DE CONSTRUCCIÓN en La Condesa Juriquilla, 4ta Recamara, 5.5 ","$4,320,000",4,310
1620518166-1054,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=20,VENTA DE CASA EN CUMBRES DEL LAGO JURIQUILLA,"$4,538,000",3,282
1620519490-4469,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=2,"Hermosa Casa de UNA PLANTA en Grand Juriquilla, 3 Recamaras, Jardín, T.305 m2..","$3,490,000",3,195
1620518191-1144,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=17,Casa de una planta en Altos Juriquilla,"$2,552,000",2,147
1620519376-4157,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=12,"En Juriquilla San Isidro, 3 Recamaras, Sala TV, Pasillo de Servicio, Jardín,","$1,815,000",3,102
1620518166-1067,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=20,Casa en venta en Cumbres del Lago AQC,"$5,400,000",3,270
1620519612-4818,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=29,El Refugio casa con diseño contemporáneo y 190! RAHH,"$3,390,000",2,190
1620518949-3099,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=48,Venta Casa Apeninos Lomas Juriquilla,"$4,350,000",3,250
1620519800-5420,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=9,"Preventa bonita casa con excelentes acabados, ubicación y seguridad JF","$4,169,000",3,215
1620518234-1286,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=12,VENTA DE CASA EN CUMBRES DEL LAGO,"$5,490,000",5,380
1620519846-5584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,Casa en venta en esquina en El Refugio,"$3,100,000",4,218
1620519593-4758,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=31,Casa en venta EL Refugio 3 habitaciones JRH,"$2,450,000",3,130
1620519458-4383,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=5,Casa en Venta - Grand Juriquilla,"$3,530,000",4,268
1620519640-4918,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=26,Casa en venta El Refugio 3 habitaciones AVH,"$3,590,000",3,161
1620519659-4982,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=24,El Refugio casa a estrenar de 3 recamaras y 246 mts2! RAHH,"$3,600,000",3,246
1620518475-2093,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=1,Venta Moderna Casa en Arco de Piedra con Gran Plusvalía,"$6,200,000",3,316
1620519075-3359,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=39,Venta de casa en San francisco juriquilla con recamara en planta baja,"$11,500,000",3,524
1620518727-2619,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=3,Casa en El Mirador de 3 niveles con terraza y 119 mts2! GOC 19-369,"$1,735,000",3,119
1620518706-2563,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=5,Casa en venta El Mirador 3 habitaciones YCC,"$1,950,000",3,133
1620518377-1772,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=12,Casa en Venta Jurica 3 Habitaciones Jrh,"$3,320,000",3,235
1620518818-2812,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=6,"CASA EN MILENIO III,(SENDA DEL ARCOIRIS)ROOF GARDEN,$3,560,000.","$3,560,000",4,250
1620518624-2392,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=10,Casa de 3 Recámaras en Venta en El Mirador SRM 21-3638,"$2,015,603",3,119
