web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516991-947,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,HERMOSO LOFT EN RENTA NATUUR Refugio,"$11,000",1,1,60
1620516935-738,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,Departamento - Juriquilla,"$22,000",2,2,145
1620516766-85,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,DEPARTAMENTO EN RENTA EN TORRE 300 CENTRAL PARK QUERÉTARO,"$17,000",2,2,102
1620516919-683,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,"DEPARTAMENTO LOFT EN RENTA AMUEBLADO, EN JURIQUILLA, 2 RECAMARAS 160 M2","$27,000",2,2,160
1620516873-494,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,RENTO DEPARTAMENTO AMUEBLADO EN MILENIO III,"$15,000",3,2,120
1620516943-767,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO EN RENTA EN JURIQUILLA AMUEBLADO,"$26,000",2,2,114
1620516750-28,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,DEPARTAMENTO EN RENTA EN JURIQUILLA QUERETARO,"$16,000",3,2,123
1620516943-768,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO EN RENTA,"$13,500",2,2,91
1620516758-30,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,LUXURY CUMBRES DEL LAGO,"$30,000",3,4,254
1620516919-675,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,JURIQUILLA DEPA AMUEBLADO DE 1 RECAMARA EN EDIFICIO CON ALBERCA CANCHAS GYM SPA,"$18,500",1,2,98
1620516849-399,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento en renta El mirador 1 habitación AVH,"$11,500",1,1,72
1620516833-337,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"3 Departamentos en RENTA en El Campanario con 2 rec, 2 baños y Amenities","$18,000",2,2,123
1620516849-393,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Renta de Departamento en El Mirador,"$17,000",2,2,120
1620516833-349,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento sin amoblar en renta de 120 mts2 en El Campanario! RAHQRO,"$29,000",2,3,120
1620516841-367,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta El Mirador 2 habitaciones JRH,"$15,000",2,2,85
1620516811-253,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/?currency=mxn,Departamento en RENTA JURICA Queretaro Amueblado 2 Habitaciones Privada ARCO DE PIEDR...,"$20,000",2,2,92
1620516766-70,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,"Departamento amueblado en renta, Central Park, piso 11","$24,000",3,2,null
1620516912-644,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,Departamento Penthouse en Juriquilla de 2 Niveles y 3 Recámaras con baño,"$20,000",3,4,218
1620516750-19,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Departamento en Renta ubicado en Ambar Tower Cumbres del Lago,"$18,000",2,2,135
1620516766-62,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,RENTA DEPARTAMENTOS AMUEBLADOS - CENTRAL PARK - QUERETARO,"$21,000",2,2,110
1620516966-862,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,Departamento PH Cantalagua Juriquilla 3 recámaras RENTA!!!,"$20,000",2,2,null
1620516984-921,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,Departamento en renta amueblado en Villas del Refugio en privada con vigilancia,"$6,000",2,1,52
1620516781-137,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Departamento Renta Motto Centro Sur,"$16,500",2,1,89
1620516766-60,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,Departamento totalmente amoblado en Centro Sur de 2 dormitorios! RAHH,"$21,000",2,2,87
1620516951-800,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,DEPARTAMENTO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$21,500",2,2,160
1620516781-122,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Departamento totalmente amueblado en Central Park Queretaro,"$21,500",2,2,156
1620516841-365,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento a estrenar en El Mirador de 2 dormitorios! GOC,"$15,000",2,2,85
1620516919-654,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,RENTA DEPARTAMENTO AMUEBLADO EN JURIQUILLA SANTA FE 1 DORMITORIO,"$22,500",1,2,98
1620516943-769,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO DE LUJO EN RENTA EN JURIQUILLA QUERETARO,"$18,000",3,2,176
1620516833-328,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento amueblado en renta Adamant,"$18,000",2,2,74
1620516958-805,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO EN JURIQUILLA SANTA FE JACUZZI,"$12,500",3,3,210
1620516781-138,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Departamento Renta Amueblado en Koloria,"$22,000",2,2,85
1620516825-324,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Renta depa completamente amueblado en condominio de lujo en El Campanario JF,"$20,500",1,1,40
1620516976-885,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,"Departamento en renta en Natuur, San José el Alto","$18,100",3,2,160
1620516991-929,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,Departamento Renta en Riscos Zakia,"$7,700",2,1,65
1620516849-388,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento a estrenar en El Mirador sin amueblar de 85 mts2! RAHQRO,"$14,000",2,2,85
1620516919-655,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,BIOSFERA TOWERS Amueblado torre A dos recamaras,"$20,000",2,2,100
1620516833-333,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO AMUEBLADO EN CITY VIEW,"$24,000",2,2,133
1620516958-807,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,Departamento - Juriquilla,"$38,500",3,3,240
1620516873-493,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,"Departamento Amueblado en Renta en Milenio III, Qro","$9,500",1,1,50
1620516766-64,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,Renta departamento Querétaro,"$20,000",2,2,109
1620516895-573,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=10,Lomelin BR | DEPARTAMENTO EN RENTA | 3 HABITACIONES | BIOSFERA TOWERS JURIQUILLA,"$24,000",3,3,null
1620516758-32,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,"DEPAS EN RENTA EN CUMBRES DE LAGO JURIQUILLA, QUERÉTARO.","$18,000",2,2,135
1620516976-881,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,Renta departamento Refugio,"$12,500",2,2,92
1620516825-304,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento en El Campanario, Querétaro","$23,000",3,3,140
1620516825-308,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,CAMPANARIO 2 REC.  ESPECTACULAR VISTA,"$24,000",2,2,125
1620516912-653,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,Departamentos en Renta - Queretaro - CaÃ±adas del Lago,"$15,000",3,2,152
1620516789-172,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,RENTA DEPARTAMENTO ALIA CENTRO SUR ALBERCA SEGURIDAD UBICACIÓN,"$17,000",2,2,107
1620516935-736,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,Departamento - Juriquilla,"$30,000",3,2,175
1620516880-531,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,Loft con maravillosa vista,"$10,400",1,1,78
1620516880-509,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,"Departamento en venta en Milenio III, 3 rec., 2.5 baños","$18,500",3,2,170
1620516873-487,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,DEPARTAMENTO EN RENTA EN QUERETARO - Summit Park,"$12,500",22,2,85
1620516857-442,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=1,Departamento en renta El MIrador 2 habitaciones AVH,"$11,500",2,2,85
1620516943-772,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,Departamento - Juriquilla,"$28,420",2,2,140
1620516888-539,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=11,Departamento en Renta Club la Loma el salitre Queretaro 1 habitacion y estudio,"$17,900",1,2,88
1620516750-15,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,"Departamentos de lujo en AMBAR TOWER dentro de Cumbres del Lago, Juriquilla!","$22,000",4,3,171
1620516888-563,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=11,"Departamento en Renta, en Juriquilla Santa Fe, Querétaro","$22,000",2,2,123
1620516951-792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,Departamento - Juriquilla,"$20,000",3,2,145
1620516819-279,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,RENTA DEPARTAMENTO AMUEBLADO EN EL CAMPANARIO QUERETARO,"$24,000",2,2,150
1620516943-755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,Departamento amueblado de 3 recámaras + cuarto de servicio Biosfera Towers,"$30,000",4,3,null
1620516927-704,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,DEPARTAMENTO EN RENTA EN CUMBRES DEL LAGO JURIQUILLA EN QUERETARO,"$24,000",3,3,136
1620516766-79,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,"Departamento amueblado en renta, Central Park","$22,000",3,2,140
1620516841-361,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta hermoso y a estrenar con 2 Rec 2 Bañ en el El Mirador JF,"$14,000",2,2,122
1620516849-404,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento en renta El Mirador 2 habitaciones JGCC,"$11,500",2,2,85
1620516904-616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=9,Un departamento especial que te está esperando - Biósfera Towers,"$22,000",2,2,118
1620516819-271,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en Renta en El Campanario de 1 Dormitorio y 1 Baño! Rahqro,"$19,000",1,1,40
1620516819-284,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,RENTA DEPARTAMENTO ELITE EL CAMPANARIO QUERETARO,"$18,000",2,1,150
1620516833-346,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,PRECIOSO DEPARTAMENTO DE LUJO PARA EJECUTIVOS AMUEBLADO,"$16,000",1,1,85
1620516833-327,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"Departamento en Renta, El Cmpanario, Querétaro.","$18,000",2,2,75
1620516857-436,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=1,Departamento en Renta. El Mirador. FVR,"$14,000",2,2,85
1620516951-795,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,DEPARTAMENTO DE LUJO EN RENTA UBICADO EN JURIQUILLA,"$27,000",3,3,200
1620516880-518,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,"DEPARTAMENTO DE LUJO,  AMUEBLADO,  CON DOS LUGARES DE ESTACIONAMIENTO EN MILENIO III","$23,000",2,2,160
1620516805-230,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,"Departamento en renta, Distrito Piamonte","$22,000",2,2,87
1620516825-299,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"DEPARTAMENTO EN VENTA O RENTA EN CAMPANARIO, ÉLITE","$24,000",2,2,136
1620516984-898,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA EN RESIDENCIAL EL REFUGIO !!,"$19,000",2,2,100
1620516873-502,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,Renta depa a estrenar en condominio con excelentes amenidades JF,"$15,000",3,2,125
1620516991-940,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,Se renta departamento de 2 recamaras en junipero serra incluye servicios jpc,"$22,000",2,2,130
1620516789-161,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,DEPARTAMENTO EN RENTA EN TORRE 300 CENTRAL PARK QUERÉTARO,"$17,000",2,2,102
1620516825-320,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,EL CAMPANARIO DEPA EN RENTA 2 RECAMARAS EDF CON ALBERCA LUDOTECA GYM,"$25,000",2,2,76
1620516943-766,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,Hermoso Departamento en Renta. Juriquilla. FVR,"$23,500",3,3,184
1620516766-69,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,Departamento Semi amueblado,"$21,000",2,2,96
1620516880-515,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,"Departamento en renta en Milenio III, Qro.","$22,000",2,2,null
1620516758-33,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,"SE RENTA DEPA EN CUMBRES DE LAGO JURIQUILLA, QUERÉTARO","$18,000",2,3,140
1620516984-913,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,Espacioso departamento sin amoblar en el refugio de 3 dormitorios! Rahqro,"$18,600",3,4,242
1620516966-835,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,"Renta Departamento, 3 recamaras amenidades, Biosfera Towers Juriquilla Queretaro","$15,500",3,2,120
1620516865-467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,RENTA DEPARETAMENTOS QUERETARO CAMINO A ELCAMPANARIO CITY VIEW,"$20,000",2,2,109
1620516819-283,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,RENTA DEPARTAMENTOS - CAMPANARIO ELITE - QUERETARO,"$23,600",2,2,128
1620516789-177,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,RENTA DEPARTAMENTO AMUEBLADO EN CENTRO SUR 2 RECAMARAS 2 BAÑOS,"$21,000",2,2,87
1620516991-944,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,DEPA EN NATUUR REFUGIO,"$16,000",3,2,129
1620516774-101,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,RENTA DEPTO CENTRAL PARK CENTRO SUR,"$15,000",2,1,110
1620516750-6,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Hermoso depa amueblado y equipado listo para habitar en Cumbres del Lago JF,"$20,500",3,3,106
1620516958-813,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,DEPARTAMENTO AMUEBLADO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$22,500",2,2,124
1620516811-267,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/?currency=mxn,Departamento en Renta Club la Loma el salitre Queretaro 1 habitacion y estudio,"$17,900",1,2,88
1620516805-220,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,Ideal Para Familias Jóvenes O Ejecutivos Sin Amoblar!,"$14,000",2,2,87
1620516873-485,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,"Departamento en renta en Milenio III, 2 rec.","$25,000",2,1,129
1620516880-516,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,Departamento amueblado y equipado en Renta. Milenio III en 2° piso con 3 recámaras y ...,"$13,000",3,2,172
1620516976-887,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,"Departamento en Renta, Querétaro, Querétaro","$13,900",2,2,120
1620516927-698,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento - Juriquilla,"$21,000",2,2,145
1620516774-107,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,Espectacular Departamento de  2 Recámaras y 2  Baños en Centro Sur Ofp 19-603,"$21,500",2,2,85
1620516927-706,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento amueblado - Tu hogar rodeado de belleza natural - Múltiples y diversos e...,"$38,000",3,3,161
1620516958-818,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,"Departamento en renta junto a la UVM, en Atelier Juriquilla","$12,900",3,2,100
1620516825-302,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento en El Campanario, Querétaro","$15,000",1,1,1
1620516758-41,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,Departamento con Jardin y vista al Lago. Magnolia Luxury Condos.,"$40,000",3,2,176
1620516951-788,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,"DEPARTAMENTO EN RENTA EN WISE LIVING JURIQUILLA, EXCELENTE UBICACIÓN","$21,000",2,2,160
1620516943-759,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,DEPARTAMENTO AMUEBLADO EN RENTA EN ALEGRA TOWERS JURIQUILLA,"$26,000",2,2,132
1620516904-594,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=9,"Renta de Departamento, Juriquilla, Querétaro","$12,700",2,2,86
1620516984-919,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO AMUEBLADO EL REFUGIO,"$14,000",3,2,110
1620516904-621,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=9,RENTA DEPARTAMENTOS - BIOSFERA TOWERS -JURIQUILLA - QUERETARO,"$16,500",3,2,99
1620516873-501,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=2,RENTA DEPARTAMENTO EN CONDOMINIO EXCELENTES AMENIDADES,"$16,500",2,2,100
1620516966-841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,"Departamento NUEVO en Renta, 2 Recamaras con Baño, Juriquilla $18,500 QUERETARO","$18,500",2,3,169
1620516919-677,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,VENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN JURIQUILLA TOWERS,"$20,000",2,2,94
1620516912-640,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,DEPARTAMENTO EN VENTA CANTALAGUA PUNTA JURIQUILLA,"$15,000",2,2,135
1620516819-268,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en renta El Campanario 2 habitaciones YCC,"$25,000",2,2,76
1620516951-787,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,Departamento en renta amueblado biosfera towers juriquilla,"$20,000",3,2,120
1620516976-868,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,Renta de Departamento en El Refugio 21-2313,"$6,000",2,1,52
1620516927-686,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Apartment - Juriquilla,"$23,000",2,2,139
1620516819-278,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en Renta en Lomas del Marqués 1 Rec 1 Baño,"$12,900",1,1,70
1620516943-744,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=4,"D*RENTA DE DEPARTAMENTO EN JURIQUILLA $18,000.00 AMUEBLADO VISTA PANORÁMICA","$18,000",1,1,120
1620516849-400,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=2,Departamento en Renta. El Mirador. FVR,"$12,500",2,2,85
1620516966-858,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=1,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS COCINA EQUIPADA ALBERCA GYM,"$20,500",3,2,126
1620516789-173,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,"DEPARTAMENTO EN RENTA O VENTA EN KOLORIA, 2 REC.,","$14,000",2,2,94
1620516825-298,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento en Renta en El Campanario de 2 dormitorios y 2 baños! RAHQRO,"$25,000",2,2,76
1620516766-77,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,¡¡ HERMOSO DEPARTAMENTO DE 160M2 EN RENTA UBICADO EN CENTRO SUR !!,"$19,500",2,2,160
1620516805-217,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=1,DEPARTAMENTO  EN  ALIA SKY LIVING CENTRO SUR,"$16,500",2,2,100
1620516991-923,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=1,"DEPARTAMENTO EN RENTA 3 RECAMARAS CON ALBERCA, QUERETARO","$12,500",3,2,120
1620516841-379,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,"Departamento Amueblado en El Mirador con Vigilancia, Renta","$11,500",1,1,72
1620516927-712,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=6,Departamento a estrenar en Fray Junipero Serra sin amueblar! RAHQRO,"$22,000",2,3,130
1620516833-329,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"RENTA DEPARTAMENTO AMUEBLADO, HACIENDA EL CAMPANARIO. GPS INMOBILIAIRA","$19,000",1,2,90
1620516750-17,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Renta de Loft / Departamento en Juriquilla,"$13,000",1,1,50
1620516750-9,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,DEPARTAMENTO EN RENTA  -  QUERETARO - JURIQUILLA,"$13,500",2,2,100
1620516797-184,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=2,"Departamento nuevo se renta  amueblado , incluye  mantenimiento y cuenta  con  amenid...","$16,000",3,3,129
1620516888-551,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=11,Hermoso departamento en renta.LC,"$20,500",3,2,106
1620516758-35,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=1,"Departamentos de lujo en AMBAR TOWER dentro de Cumbres del Lago, Juriquilla!","$18,000",2,2,135
1620516841-366,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Departamento en renta El Mirador 2 habitaciones AVH,"$11,500",2,2,85
1620516976-891,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=3,Departamento en Renta EL REFUGIO Querétaro 3 habitaciones Amueblado con amenidades,"$18,000",3,2,170
1620516819-281,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta Departamento Adamant Queretaro  Amueblado,"$19,000",2,2,75
