web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516984-903,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,Departamento en Privalia ambienta 2 recamaras.,"$7,500",2,2,84
1620516774-89,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,DEPARTAMENTO EN VENTA KOLORIA CENTRO SUR,"$18,000",3,2,110
1620516935-716,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=5,DEPARTAMENTO EN JURIQUILLA SANTA FE,"$21,000",3,2,130
1620516781-143,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,RENTA DEPARTAMENTO AMUEBLADO,"$22,000",2,2,85
1620516895-579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=10,"RENTA DEPTO BIOSFERA 3 REC. $17,500.00","$17,500",null,null,null
1620516797-195,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=2,Espectacular Departamento Ideal Para Familias Jóvenes O Ejecutivos!,"$14,000",2,2,85
1620516895-591,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=10,Renta hermoso depa amueblado en condominio pequeño y seguro JF,"$16,000",2,2,132
1620516984-907,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?&page=2,Monte Miranda exclusivo departamento de 3 recamaras y 117 mts2!,"$22,000",3,3,117
1620516951-778,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,Departamento en venta o renta en Juriquilla,"$29,500",3,3,235
1620516951-783,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=3,BONITO DEPARTAMENTO EN DESARROLLO EXCLUSIVO AUTOSUSTENTABLE JOY JURIQUILLA,"$28,000",2,2,142
1620516750-26,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?&page=2,Departamento amueblado en renta en juriquilla con servicios incluidos.,"$15,000",1,1,68
1620516895-583,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=10,DEPARTAMENTO AMUEBLADO EN BIOSFERA QUERETARO,"$19,500",3,2,176
1620516888-538,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=11,RENTA DEPARTAMENTOS-JURIQUILLA-QUERETARO,"$18,000",null,null,null
1620516766-78,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,EXCELENTE DEPARTAMENTO TOTALMENTE AMUEBLADO Y EQUIPADO EN RENTA EN CENTRAL PARK.,"$22,000",1,2,103
1620516865-465,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN CITY VIEW QUERETARO,"$25,000",2,2,109
1620516958-812,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,Departamento en Altos de Juriquilla con cocina equipada RAHQRO,"$14,000",2,3,156
1620516880-507,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,RENTA DEPARTAMENTO EN TERRANTO MILENIO III,"$13,800",3,2,120
1620516958-819,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=2,Departamento - Juriquilla,"$20,000",3,3,186
1620516865-450,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=3,DEPARTAMENTO AMUEBLADO EN MILENIO III,"$15,000",3,2,167
1620516774-92,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=5,Departamento en Central Park - Centro Sur - Oportunidad,"$21,000",null,null,null
1620516841-359,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,"Departamento de 1 Recámara a Pie de Calle, El Mirador. Renta","$6,500",1,1,60
